"record_id","month","day","year","plot_id","species_id","sex","hindfoot_length","weight","hindfoot_length_cm"
1,7,16,1977,2,"NL","M",32,NA,3.2
2,7,16,1977,3,"NL","M",33,NA,3.3
3,7,16,1977,2,"DM","F",37,NA,3.7
4,7,16,1977,7,"DM","M",36,NA,3.6
5,7,16,1977,3,"DM","M",35,NA,3.5
6,7,16,1977,1,"PF","M",14,NA,1.4
7,7,16,1977,2,"PE","F",NA,NA,NA
8,7,16,1977,1,"DM","M",37,NA,3.7
9,7,16,1977,1,"DM","F",34,NA,3.4
10,7,16,1977,6,"PF","F",20,NA,2
11,7,16,1977,5,"DS","F",53,NA,5.3
12,7,16,1977,7,"DM","M",38,NA,3.8
13,7,16,1977,3,"DM","M",35,NA,3.5
14,7,16,1977,8,"DM","",NA,NA,NA
15,7,16,1977,6,"DM","F",36,NA,3.6
16,7,16,1977,4,"DM","F",36,NA,3.6
17,7,16,1977,3,"DS","F",48,NA,4.8
18,7,16,1977,2,"PP","M",22,NA,2.2
19,7,16,1977,4,"PF","",NA,NA,NA
20,7,17,1977,11,"DS","F",48,NA,4.8
21,7,17,1977,14,"DM","F",34,NA,3.4
22,7,17,1977,15,"NL","F",31,NA,3.1
23,7,17,1977,13,"DM","M",36,NA,3.6
24,7,17,1977,13,"SH","M",21,NA,2.1
25,7,17,1977,9,"DM","M",35,NA,3.5
26,7,17,1977,15,"DM","M",31,NA,3.1
27,7,17,1977,15,"DM","M",36,NA,3.6
28,7,17,1977,11,"DM","M",38,NA,3.8
29,7,17,1977,11,"PP","M",NA,NA,NA
30,7,17,1977,10,"DS","F",52,NA,5.2
31,7,17,1977,15,"DM","F",37,NA,3.7
32,7,17,1977,10,"DM","F",35,NA,3.5
33,7,17,1977,11,"DM","F",36,NA,3.6
34,7,17,1977,17,"DM","",NA,NA,NA
35,7,17,1977,13,"DM","F",38,NA,3.8
36,7,17,1977,16,"OT","F",22,NA,2.2
37,7,17,1977,11,"DM","F",35,NA,3.5
38,7,17,1977,17,"NL","M",33,NA,3.3
39,7,17,1977,11,"DM","F",36,NA,3.6
40,7,18,1977,20,"DM","M",36,NA,3.6
41,7,18,1977,23,"DM","F",34,NA,3.4
42,7,18,1977,18,"DS","F",46,NA,4.6
43,7,18,1977,21,"DM","M",36,NA,3.6
44,7,18,1977,18,"DM","F",35,NA,3.5
45,7,18,1977,22,"DM","M",36,NA,3.6
46,7,18,1977,19,"DM","M",35,NA,3.5
47,7,18,1977,18,"DM","M",32,NA,3.2
48,7,18,1977,20,"DM","F",36,NA,3.6
49,7,18,1977,12,"PP","F",17,NA,1.7
50,7,18,1977,18,"DM","F",32,NA,3.2
51,7,18,1977,21,"DM","F",36,NA,3.6
52,7,18,1977,12,"DM","F",26,NA,2.6
53,7,18,1977,22,"DM","M",36,NA,3.6
54,7,18,1977,18,"DM","M",37,NA,3.7
55,7,18,1977,23,"DM","M",36,NA,3.6
56,7,18,1977,20,"DM","M",34,NA,3.4
57,7,18,1977,22,"DM","",NA,NA,NA
58,7,18,1977,12,"DS","M",45,NA,4.5
59,7,18,1977,19,"DM","M",33,NA,3.3
60,7,18,1977,19,"PE","M",20,NA,2
61,7,18,1977,23,"DM","M",35,NA,3.5
62,7,18,1977,19,"DM","M",35,NA,3.5
63,8,19,1977,3,"DM","M",35,40,3.5
64,8,19,1977,7,"DM","M",37,48,3.7
65,8,19,1977,4,"DM","F",34,29,3.4
66,8,19,1977,4,"DM","F",35,46,3.5
67,8,19,1977,7,"DM","M",35,36,3.5
68,8,19,1977,8,"DO","F",32,52,3.2
69,8,19,1977,2,"PF","M",15,8,1.5
70,8,19,1977,3,"OX","F",21,22,2.1
71,8,19,1977,7,"DM","F",36,35,3.6
72,8,19,1977,2,"NL","M",31,NA,3.1
73,8,19,1977,3,"DS","F",44,NA,4.4
74,8,19,1977,8,"PF","M",12,7,1.2
75,8,19,1977,8,"DM","F",32,22,3.2
76,8,19,1977,9,"DS","F",47,NA,4.7
77,8,19,1977,4,"SS","",NA,NA,NA
78,8,19,1977,1,"PF","M",16,9,1.6
79,8,19,1977,7,"DM","F",34,42,3.4
80,8,19,1977,1,"DS","M",48,NA,4.8
81,8,19,1977,4,"PF","F",14,8,1.4
82,8,19,1977,4,"DM","F",35,41,3.5
83,8,20,1977,6,"DM","F",37,37,3.7
84,8,20,1977,19,"DM","F",35,43,3.5
85,8,20,1977,23,"DM","F",35,41,3.5
86,8,20,1977,18,"DM","F",33,40,3.3
87,8,20,1977,5,"PF","F",11,9,1.1
88,8,20,1977,18,"DM","F",35,45,3.5
89,8,20,1977,12,"PP","F",20,15,2
90,8,20,1977,18,"DM","M",35,29,3.5
91,8,20,1977,11,"DS","F",50,NA,5
92,8,20,1977,6,"DM","M",35,39,3.5
93,8,20,1977,18,"DM","",NA,42,NA
94,8,20,1977,18,"DM","F",36,43,3.6
95,8,20,1977,23,"DM","M",38,46,3.8
96,8,20,1977,12,"DM","M",36,41,3.6
97,8,20,1977,18,"DM","M",36,41,3.6
98,8,20,1977,5,"DM","M",38,40,3.8
99,8,20,1977,11,"DM","M",37,45,3.7
100,8,20,1977,5,"DS","F",54,NA,5.4
101,8,20,1977,5,"DM","F",35,46,3.5
102,8,20,1977,23,"DM","F",35,40,3.5
103,8,20,1977,18,"DM","F",35,30,3.5
104,8,20,1977,11,"DS","M",43,NA,4.3
105,8,20,1977,19,"DM","M",35,39,3.5
106,8,20,1977,12,"NL","",NA,NA,NA
107,8,20,1977,18,"NL","",NA,NA,NA
108,8,20,1977,11,"PP","M",21,NA,2.1
109,8,20,1977,6,"DM","M",35,34,3.5
110,8,20,1977,10,"DS","",NA,NA,NA
111,8,20,1977,11,"DM","F",37,42,3.7
112,8,20,1977,23,"DM","M",37,42,3.7
113,8,20,1977,5,"PF","F",13,8,1.3
114,8,21,1977,15,"DM","F",32,NA,3.2
115,8,21,1977,21,"DM","M",34,NA,3.4
116,8,21,1977,13,"DM","F",37,31,3.7
117,8,21,1977,21,"OX","F",19,NA,1.9
118,8,21,1977,17,"DM","M",33,NA,3.3
119,8,21,1977,20,"DM","M",35,NA,3.5
120,8,21,1977,20,"DM","M",35,NA,3.5
121,8,21,1977,15,"NL","",NA,NA,NA
122,8,21,1977,22,"DM","F",33,NA,3.3
123,8,21,1977,17,"DM","M",37,NA,3.7
124,8,21,1977,14,"DM","M",36,NA,3.6
125,8,21,1977,22,"DM","M",35,NA,3.5
